"id" "session" "task_type" "temp_ori" "trial" "E2" "chosen" "choice_certain" "indiff" "item_liking" "payoff_liking"
"71" "MD1HIHI1" "1" "Hypothetical" "Retrospective" "1" 175 "Payoff" 3 7.4375 6 6
"72" "MD1HIHI1" "1" "Hypothetical" "Retrospective" "3" 75 "Item" 2 6.4375 7 6
"73" "MD1HIHI1" "1" "Hypothetical" "Retrospective" "4" 115 "Item" 2 6.6875 7 5
"74" "MD1HIHI1" "1" "Hypothetical" "Retrospective" "5" 270 "Payoff" 1 4.8125 7 4
"75" "MD1HIHI1" "1" "Hypothetical" "Retrospective" "6" 45 "Payoff" 2 9.0625 7 6
"76" "MD1HIHI2" "2" "Hypothetical" "Retrospective" "1" 270 "Payoff" 7 3.9375 6 6
"77" "MD1HIHI2" "2" "Hypothetical" "Retrospective" "2" 45 "Payoff" 7 7.4375 5 7
"78" "MD1HIHI2" "2" "Hypothetical" "Retrospective" "3" 115 "Payoff" 7 5.9375 6 5
"79" "MD1HIHI2" "2" "Hypothetical" "Retrospective" "4" 175 "Payoff" 3 5.4375 6 4
"80" "MD1HIHI2" "2" "Hypothetical" "Retrospective" "5" 75 "Item" 1 7.9375 5 3
"81" "MD2HIRI1" "1" "Hypothetical" "Retrospective" "1" 75 "Payoff" 7 2.9375 5 5
"82" "MD2HIRI1" "1" "Hypothetical" "Retrospective" "3" 270 "Item" 1 2.9375 4 1
"83" "MD2HIRI1" "1" "Hypothetical" "Retrospective" "4" 115 "Item" 1 2.9375 4 1
"84" "MD2HIRI1" "1" "Hypothetical" "Retrospective" "5" 175 "Item" 1 2.9375 4 1
"85" "MD2HIRI1" "1" "Hypothetical" "Retrospective" "6" 45 "Item" 1 2.9375 4 1
"86" "MD2HIRI2" "2" "Real" "Retrospective" "1" 75 "Item" 1 2.9375 4 1
"87" "MD2HIRI2" "2" "Real" "Retrospective" "2" 175 "Item" 1 2.9375 4 1
"88" "MD2HIRI2" "2" "Real" "Retrospective" "3" 270 "Payoff" 1 -57.5 4 1
"89" "MD2HIRI2" "2" "Real" "Retrospective" "4" 115 "Item" 1 2.9375 4 1
"90" "MD2HIRI2" "2" "Real" "Retrospective" "6" 45 "Item" 1 2.9375 4 1
"91" "MD6HIRI1" "1" "Hypothetical" "Retrospective" "2" 270 "Payoff" 1 15.0625 6 5
"92" "MD6HIRI1" "1" "Hypothetical" "Retrospective" "3" 75 "Item" 1 14.8125 4 2
"93" "MD6HIRI1" "1" "Hypothetical" "Retrospective" "4" 115 "Payoff" 1 14.5625 4 3
"94" "MD6HIRI1" "1" "Hypothetical" "Retrospective" "5" 175 "Payoff" 1 11.3125 3 4
"95" "MD6HIRI1" "1" "Hypothetical" "Retrospective" "6" 45 "Item" 6 80.5 5 5
"96" "MD6HIRI2" "2" "Real" "Retrospective" "1" 115 "Item" 2 -0.0625 2 1
"97" "MD6HIRI2" "2" "Real" "Retrospective" "2" 75 "Item" 1 -0.0625 1 2
"98" "MD6HIRI2" "2" "Real" "Retrospective" "4" 45 "Item" 2 -0.0625 5 1
"99" "MD6HIRI2" "2" "Real" "Retrospective" "5" 270 "Payoff" 1 -0.1875 2 1
"100" "MD6HIRI2" "2" "Real" "Retrospective" "6" 175 "Item" 1 -0.0625 2 1
"101" "MD7HCHC1" "1" "Hypothetical" "Prospective" "1" 270 "Item" 4 10.0625 6 6
"102" "MD7HCHC1" "1" "Hypothetical" "Prospective" "2" 45 "Payoff" 4 9.9375 6 6
"103" "MD7HCHC1" "1" "Hypothetical" "Prospective" "3" 115 "Item" 5 9.9375 5 6
"104" "MD7HCHC1" "1" "Hypothetical" "Prospective" "4" 175 "Item" 3 8.9375 5 6
"105" "MD7HCHC1" "1" "Hypothetical" "Prospective" "6" 75 "Item" 4 9.9375 5 6
"106" "MD7HCHC2" "2" "Hypothetical" "Prospective" "1" 115 "Item" 6 4.9375 6 5
"107" "MD7HCHC2" "2" "Hypothetical" "Prospective" "2" 75 "Payoff" 5 4.9375 5 6
"108" "MD7HCHC2" "2" "Hypothetical" "Prospective" "4" 45 "Payoff" 6 6.9375 6 6
"109" "MD7HCHC2" "2" "Hypothetical" "Prospective" "5" 270 "Item" 5 7.9375 5 6
"110" "MD7HCHC2" "2" "Hypothetical" "Prospective" "6" 175 "Payoff" 6 8.4375 5 6
"111" "MD8HCHC1" "1" "Hypothetical" "Prospective" "1" 175 "Payoff" 4 -0.0625 2 2
"112" "MD8HCHC1" "1" "Hypothetical" "Prospective" "2" 45 "Payoff" 4 -0.0625 2 4
"113" "MD8HCHC1" "1" "Hypothetical" "Prospective" "3" 270 "Payoff" 3 -0.0625 2 4
"114" "MD8HCHC1" "1" "Hypothetical" "Prospective" "5" 75 "Payoff" 3 -0.0625 2 2
"115" "MD8HCHC1" "1" "Hypothetical" "Prospective" "6" 115 "Payoff" 3 -0.0625 2 2
"116" "MD8HCHC2" "2" "Hypothetical" "Prospective" "2" 270 "Payoff" 2 -0.0625 2 2
"117" "MD8HCHC2" "2" "Hypothetical" "Prospective" "3" 175 "Payoff" 2 -0.0625 2 2
"118" "MD8HCHC2" "2" "Hypothetical" "Prospective" "4" 75 "Payoff" 2 -0.0625 2 2
"119" "MD8HCHC2" "2" "Hypothetical" "Prospective" "5" 45 "Payoff" 7 -0.0625 2 2
"120" "MD8HCHC2" "2" "Hypothetical" "Prospective" "6" 115 "Payoff" 7 -0.0625 2 2
"121" "MT12HIHI1" "1" "Hypothetical" "Retrospective" "2" 115 "Item" 1 14.9375 7 7
"122" "MT12HIHI1" "1" "Hypothetical" "Retrospective" "3" 175 "Item" 1 14.9375 7 7
"123" "MT12HIHI1" "1" "Hypothetical" "Retrospective" "4" 270 "Item" 5 15.9375 7 7
"124" "MT12HIHI1" "1" "Hypothetical" "Retrospective" "5" 45 "Item" 1 14.9375 7 7
"125" "MT12HIHI1" "1" "Hypothetical" "Retrospective" "6" 75 "Item" 1 14.9375 7 7
"126" "MT12HIHI2" "2" "Hypothetical" "Retrospective" "1" 175 "Payoff" 7 13.9375 6 7
"127" "MT12HIHI2" "2" "Hypothetical" "Retrospective" "2" 45 "Item" 5 13.9375 6 7
"128" "MT12HIHI2" "2" "Hypothetical" "Retrospective" "3" 115 "Item" 5 13.9375 6 7
"129" "MT12HIHI2" "2" "Hypothetical" "Retrospective" "5" 270 "Item" 3 14.4375 7 7
"130" "MT12HIHI2" "2" "Hypothetical" "Retrospective" "6" 75 "Payoff" 7 13.9375 6 7
"131" "MT2HCHC1" "1" "Hypothetical" "Prospective" "1" 175 "Item" 4 -11.8125 3 1
"132" "MT2HCHC1" "1" "Hypothetical" "Prospective" "3" 45 "Payoff" 5 8.9375 6 6
"133" "MT2HCHC1" "1" "Hypothetical" "Prospective" "4" 115 "Payoff" 1 -9.8125 5 1
"134" "MT2HCHC1" "1" "Hypothetical" "Prospective" "5" 75 "Payoff" 1 -10.1875 5 1
"135" "MT2HCHC1" "1" "Hypothetical" "Prospective" "6" 270 "Payoff" 1 -14.9375 1 1
"136" "MT2HCHC2" "2" "Hypothetical" "Prospective" "1" 175 "Payoff" 2 -5.9375 1 1
"137" "MT2HCHC2" "2" "Hypothetical" "Prospective" "2" 45 "Item" 4 3.9375 4 2
"138" "MT2HCHC2" "2" "Hypothetical" "Prospective" "3" 75 "Payoff" 5 4.9375 2 6
"139" "MT2HCHC2" "2" "Hypothetical" "Prospective" "4" 270 "Payoff" 3 3.9375 1 2
"140" "MT2HCHC2" "2" "Hypothetical" "Prospective" "5" 115 "Item" 1 -3.8125 3 1
"141" "MT3HCHC1" "1" "Hypothetical" "Prospective" "2" 75 "Item" 3 7.9375 3 3
"142" "MT3HCHC1" "1" "Hypothetical" "Prospective" "3" 115 "Item" 4 6.6875 2 2
"143" "MT3HCHC1" "1" "Hypothetical" "Prospective" "4" 45 "Item" 2 5.9375 2 2
"144" "MT3HCHC1" "1" "Hypothetical" "Prospective" "5" 270 "Payoff" 5 2.9375 2 2
"145" "MT3HCHC1" "1" "Hypothetical" "Prospective" "6" 175 "Item" 4 4.1875 2 2
"146" "MT3HCHC2" "2" "Hypothetical" "Prospective" "2" 45 "Payoff" 5 8.9375 3 5
"147" "MT3HCHC2" "2" "Hypothetical" "Prospective" "3" 175 "Item" 4 3.6875 2 2
"148" "MT3HCHC2" "2" "Hypothetical" "Prospective" "4" 75 "Item" 3 5.6875 2 2
"149" "MT3HCHC2" "2" "Hypothetical" "Prospective" "5" 270 "Payoff" 5 3.5625 1 2
"150" "MT3HCHC2" "2" "Hypothetical" "Prospective" "6" 115 "Item" 2 1.9375 3 1
"151" "MT7HCRC1" "1" "Hypothetical" "Prospective" "1" 115 "Item" 5 -5.6875 1 1
"152" "MT7HCRC1" "1" "Hypothetical" "Prospective" "3" 75 "Payoff" 5 4.9375 3 5
"153" "MT7HCRC1" "1" "Hypothetical" "Prospective" "4" 175 "Payoff" 5 -12.1875 1 1
"154" "MT7HCRC1" "1" "Hypothetical" "Prospective" "5" 45 "Item" 4 -3.4375 4 2
"155" "MT7HCRC1" "1" "Hypothetical" "Prospective" "6" 270 "Item" 5 -22.8125 1 1
"156" "MT7HCRC2" "2" "Real" "Prospective" "1" 270 "Payoff" 4 4.0625 3 3
"157" "MT7HCRC2" "2" "Real" "Prospective" "2" 75 "Item" 4 8.4375 5 5
"158" "MT7HCRC2" "2" "Real" "Prospective" "4" 175 "Payoff" 4 8.4375 5 5
"159" "MT7HCRC2" "2" "Real" "Prospective" "5" 115 "Item" 4 7.9375 4 4
"160" "MT7HCRC2" "2" "Real" "Prospective" "6" 45 "Item" 4 7.9375 4 4
"161" "MT8HIRI1" "1" "Hypothetical" "Retrospective" "1" 75 "Payoff" 3 8.5625 4 5
"162" "MT8HIRI1" "1" "Hypothetical" "Retrospective" "3" 270 "Payoff" 5 17.9375 4 4
"163" "MT8HIRI1" "1" "Hypothetical" "Retrospective" "4" 45 "Item" 2 6.1875 4 3
"164" "MT8HIRI1" "1" "Hypothetical" "Retrospective" "5" 115 "Item" 3 6.3125 4 4
"165" "MT8HIRI1" "1" "Hypothetical" "Retrospective" "6" 175 "Item" 3 6.4375 3 3
"166" "MT8HIRI2" "2" "Real" "Retrospective" "1" 75 "Item" 5 9.9375 5 2
"167" "MT8HIRI2" "2" "Real" "Retrospective" "2" 45 "Payoff" 6 9.9375 5 6
"168" "MT8HIRI2" "2" "Real" "Retrospective" "3" 115 "Item" 4 9.9375 5 2
"169" "MT8HIRI2" "2" "Real" "Retrospective" "4" 175 "Item" 4 9.6875 5 3
"170" "MT8HIRI2" "2" "Real" "Retrospective" "5" 270 "Payoff" 5 14.9375 5 6
"171" "PM10HIRI1" "1" "Hypothetical" "Retrospective" "1" 175 "Payoff" 5 4.9375 4 6
"172" "PM10HIRI1" "1" "Hypothetical" "Retrospective" "3" 75 "Item" 2 2.4375 6 2
"173" "PM10HIRI1" "1" "Hypothetical" "Retrospective" "4" 270 "Item" 6 39.9375 5 7
"174" "PM10HIRI1" "1" "Hypothetical" "Retrospective" "5" 115 "Payoff" 5 4.9375 5 5
"175" "PM10HIRI1" "1" "Hypothetical" "Retrospective" "6" 45 "Payoff" 6 4.9375 4 7
"176" "PM10HIRI2" "2" "Real" "Retrospective" "1" 45 "Item" 3 72.5 6 5
"177" "PM10HIRI2" "2" "Real" "Retrospective" "2" 270 "Item" 1 72.5 7 2
"178" "PM10HIRI2" "2" "Real" "Retrospective" "3" 115 "Item" 3 72.5 5 5
"179" "PM10HIRI2" "2" "Real" "Retrospective" "4" 75 "Item" 4 38.9375 5 4
"180" "PM10HIRI2" "2" "Real" "Retrospective" "5" 175 "Item" 4 72.5 6 6
"181" "PM15HCRC1" "1" "Hypothetical" "Prospective" "1" 175 "Payoff" 4 3.1875 2 6
"182" "PM15HCRC1" "1" "Hypothetical" "Prospective" "3" 45 "Payoff" 6 6.9375 6 7
"183" "PM15HCRC1" "1" "Hypothetical" "Prospective" "4" 115 "Item" 3 3.0625 4 5
"184" "PM15HCRC1" "1" "Hypothetical" "Prospective" "5" 75 "Payoff" 6 6.4375 6 7
"185" "PM15HCRC1" "1" "Hypothetical" "Prospective" "6" 270 "Payoff" 4 1.3125 2 3
"186" "PM15HCRC2" "2" "Real" "Prospective" "1" 115 "Payoff" 2 3.1875 4 4
"187" "PM15HCRC2" "2" "Real" "Prospective" "2" 175 "Item" 3 2.1875 3 2
"188" "PM15HCRC2" "2" "Real" "Prospective" "3" 270 "Payoff" 4 1.9375 5 4
"189" "PM15HCRC2" "2" "Real" "Prospective" "4" 45 "Item" 4 2.5625 5 4
"190" "PM15HCRC2" "2" "Real" "Prospective" "6" 75 "Payoff" 3 2.0625 4 4
"191" "PM16HIHI1" "1" "Hypothetical" "Retrospective" "1" 45 "Item" 3 24.4375 7 4
"192" "PM16HIHI1" "1" "Hypothetical" "Retrospective" "2" 175 "Item" 4 28.4375 6 5
"193" "PM16HIHI1" "1" "Hypothetical" "Retrospective" "3" 75 "Payoff" 5 18.8125 7 5
"194" "PM16HIHI1" "1" "Hypothetical" "Retrospective" "4" 115 "Payoff" 5 18.8125 7 5
"195" "PM16HIHI1" "1" "Hypothetical" "Retrospective" "5" 270 "Item" 4 27.9375 7 4
"196" "PM16HIHI2" "2" "Hypothetical" "Retrospective" "1" 175 "Item" 5 36.9375 7 5
"197" "PM16HIHI2" "2" "Hypothetical" "Retrospective" "2" 115 "Payoff" 4 24.4375 7 5
"198" "PM16HIHI2" "2" "Hypothetical" "Retrospective" "3" 45 "Payoff" 6 18.9375 7 6
"199" "PM16HIHI2" "2" "Hypothetical" "Retrospective" "4" 75 "Payoff" 5 23.9375 7 5
"200" "PM16HIHI2" "2" "Hypothetical" "Retrospective" "6" 270 "Item" 3 38.6875 7 4
"201" "PM1HCHC1" "1" "Hypothetical" "Prospective" "1" 115 "Payoff" 5 6.9375 3 4
"202" "PM1HCHC1" "1" "Hypothetical" "Prospective" "3" 270 "Item" 3 4.4375 4 2
"203" "PM1HCHC1" "1" "Hypothetical" "Prospective" "4" 175 "Item" 5 8.4375 5 5
"204" "PM1HCHC1" "1" "Hypothetical" "Prospective" "5" 45 "Item" 6 15.9375 7 6
"205" "PM1HCHC1" "1" "Hypothetical" "Prospective" "6" 75 "Payoff" 5 9.4375 7 6
"206" "PM1HCHC2" "2" "Hypothetical" "Prospective" "1" 115 "Item" 6 15.9375 6 4
"207" "PM1HCHC2" "2" "Hypothetical" "Prospective" "2" 45 "Payoff" 6 19.9375 7 7
"208" "PM1HCHC2" "2" "Hypothetical" "Prospective" "4" 175 "Item" 6 14.9375 5 6
"209" "PM1HCHC2" "2" "Hypothetical" "Prospective" "5" 75 "Payoff" 7 19.9375 6 7
"210" "PM1HCHC2" "2" "Hypothetical" "Prospective" "6" 270 "Item" 5 9.8125 4 5
"211" "PM2HIRI1" "1" "Hypothetical" "Retrospective" "1" 175 "Item" 7 56.5 3 7
"212" "PM2HIRI1" "1" "Hypothetical" "Retrospective" "2" 115 "Item" 7 73 5 7
"213" "PM2HIRI1" "1" "Hypothetical" "Retrospective" "3" 75 "Item" 7 72.5 7 7
"214" "PM2HIRI1" "1" "Hypothetical" "Retrospective" "4" 45 "Item" 7 72.5 6 7
"215" "PM2HIRI1" "1" "Hypothetical" "Retrospective" "5" 270 "Item" 2 39 1 3
"216" "PM2HIRI2" "2" "Real" "Retrospective" "1" 115 "Item" 7 76.5 6 7
"217" "PM2HIRI2" "2" "Real" "Retrospective" "3" 270 "Payoff" 1 -31.5 7 2
"218" "PM2HIRI2" "2" "Real" "Retrospective" "4" 45 "Payoff" 4 20.3125 7 7
"219" "PM2HIRI2" "2" "Real" "Retrospective" "5" 75 "Payoff" 5 16.9375 5 4
"220" "PM2HIRI2" "2" "Real" "Retrospective" "6" 175 "Payoff" 4 -25.5 6 2
"221" "PM5HIRI1" "1" "Hypothetical" "Retrospective" "2" 175 "Item" 3 15.0625 7 7
"222" "PM5HIRI1" "1" "Hypothetical" "Retrospective" "3" 270 "Item" 4 40.4375 7 7
"223" "PM5HIRI1" "1" "Hypothetical" "Retrospective" "4" 45 "Item" 5 15.1875 7 6
"224" "PM5HIRI1" "1" "Hypothetical" "Retrospective" "5" 115 "Item" 4 15.9375 6 4
"225" "PM5HIRI1" "1" "Hypothetical" "Retrospective" "6" 75 "Item" 4 15.9375 6 4
"226" "PM5HIRI2" "2" "Real" "Retrospective" "1" 75 "Payoff" 7 5.8125 7 7
"227" "PM5HIRI2" "2" "Real" "Retrospective" "3" 175 "Item" 4 4.4375 7 6
"228" "PM5HIRI2" "2" "Real" "Retrospective" "4" 270 "Payoff" 6 5.8125 6 6
"229" "PM5HIRI2" "2" "Real" "Retrospective" "5" 45 "Payoff" 7 13.9375 7 7
"230" "PM5HIRI2" "2" "Real" "Retrospective" "6" 115 "Item" 7 6.9375 7 6
"231" "PM6HCHC1" "1" "Hypothetical" "Prospective" "1" 115 "Item" 4 34.9375 7 3
"232" "PM6HCHC1" "1" "Hypothetical" "Prospective" "2" 45 "Item" 3 72.5 7 2
"233" "PM6HCHC1" "1" "Hypothetical" "Prospective" "3" 75 "Item" 3 39.9375 7 3
"234" "PM6HCHC1" "1" "Hypothetical" "Prospective" "4" 270 "Item" 3 25.1875 7 3
"235" "PM6HCHC1" "1" "Hypothetical" "Prospective" "6" 175 "Item" 4 49.9375 7 3
"236" "PM6HCHC2" "2" "Hypothetical" "Prospective" "1" 270 "Item" 4 72.5 7 4
"237" "PM6HCHC2" "2" "Hypothetical" "Prospective" "2" 75 "Item" 3 49.9375 7 4
"238" "PM6HCHC2" "2" "Hypothetical" "Prospective" "3" 45 "Item" 4 72.5 7 4
"239" "PM6HCHC2" "2" "Hypothetical" "Prospective" "4" 115 "Item" 3 72.5 7 4
"240" "PM6HCHC2" "2" "Hypothetical" "Prospective" "6" 175 "Item" 5 40.1875 7 3
"241" "PM7HCHC1" "1" "Hypothetical" "Prospective" "1" 270 "Item" 3 4.9375 7 2
"242" "PM7HCHC1" "1" "Hypothetical" "Prospective" "2" 175 "Item" 2 3.9375 5 2
"243" "PM7HCHC1" "1" "Hypothetical" "Prospective" "3" 45 "Item" 2 12.3125 7 5
"244" "PM7HCHC1" "1" "Hypothetical" "Prospective" "4" 75 "Item" 5 14.0625 6 6
"245" "PM7HCHC1" "1" "Hypothetical" "Prospective" "6" 115 "Payoff" 5 9.9375 3 5
"246" "PM7HCHC2" "2" "Hypothetical" "Prospective" "1" 45 "Item" 6 9.9375 4 5
"247" "PM7HCHC2" "2" "Hypothetical" "Prospective" "2" 175 "Payoff" 7 4.9375 7 3
"248" "PM7HCHC2" "2" "Hypothetical" "Prospective" "3" 115 "Payoff" 7 4.9375 7 3
"249" "PM7HCHC2" "2" "Hypothetical" "Prospective" "4" 270 "Payoff" 7 0.9375 7 2
"250" "PM7HCHC2" "2" "Hypothetical" "Prospective" "6" 75 "Item" 6 14.9375 5 5
"251" "PM8HCHC1" "1" "Hypothetical" "Prospective" "1" 45 "Item" 5 32.1875 5 5
"252" "PM8HCHC1" "1" "Hypothetical" "Prospective" "2" 175 "Item" 3 32.4375 6 3
"253" "PM8HCHC1" "1" "Hypothetical" "Prospective" "3" 115 "Item" 4 32.4375 6 4
"254" "PM8HCHC1" "1" "Hypothetical" "Prospective" "4" 270 "Item" 1 72.5 7 2
"255" "PM8HCHC1" "1" "Hypothetical" "Prospective" "6" 75 "Item" 4 24.9375 5 4
"256" "PM8HCHC2" "2" "Hypothetical" "Prospective" "2" 45 "Payoff" 4 29.9375 5 5
"257" "PM8HCHC2" "2" "Hypothetical" "Prospective" "3" 115 "Item" 3 40.4375 5 3
"258" "PM8HCHC2" "2" "Hypothetical" "Prospective" "4" 175 "Item" 4 72.5 6 3
"259" "PM8HCHC2" "2" "Hypothetical" "Prospective" "5" 75 "Payoff" 4 27.9375 4 5
"260" "PM8HCHC2" "2" "Hypothetical" "Prospective" "6" 270 "Item" 1 72.5 7 2
"261" "PM9HIHI1" "1" "Hypothetical" "Retrospective" "1" 115 "Payoff" 4 24.4375 4 5
"262" "PM9HIHI1" "1" "Hypothetical" "Retrospective" "2" 270 "Item" 5 40.4375 4 6
"263" "PM9HIHI1" "1" "Hypothetical" "Retrospective" "3" 45 "Payoff" 4 24.4375 3 4
"264" "PM9HIHI1" "1" "Hypothetical" "Retrospective" "4" 175 "Item" 6 72.5 3 5
